hour,A,A2,B,C
2025-12-15 09:00:00,0.0,0.86,0.0,0.0
2025-12-15 10:00:00,-0.74,0.5399999999999998,0.8799999999999999,0.5199999999999998
2025-12-15 11:00:00,0.45999999999999996,-1.5800000000000003,1.7799999999999998,-0.18000000000000083
2025-12-15 12:00:00,1.0,-2.56,1.24,-3.500000000000001
2025-12-15 13:00:00,1.4600000000000002,-1.24,5.88,-0.8400000000000007
2025-12-15 14:00:00,3.58,2.16,7.859999999999999,3.459999999999999
2025-12-15 15:00:00,4.56,3.66,8.86,4.3599999999999985
2025-12-15 16:00:00,4.56,5.82,8.86,4.3599999999999985
2025-12-15 17:00:00,6.24,7.960000000000001,10.7,6.479999999999999
2025-12-15 18:00:00,6.24,7.960000000000001,10.7,8.419999999999998
2025-12-15 19:00:00,6.62,8.340000000000002,10.7,8.819999999999999
2025-12-15 20:00:00,8.34,10.060000000000002,13.04,11.339999999999998
2025-12-15 21:00:00,3.08,3.860000000000003,10.54,6.619999999999998
2025-12-15 22:00:00,-1.6600000000000001,-4.5799999999999965,6.02,-1.9800000000000013
2025-12-15 23:00:00,-3.82,-6.739999999999997,5.7,-0.42000000000000126
2025-12-16 00:00:00,-4.46,-7.379999999999996,5.510000000000001,1.5399999999999987
2025-12-16 01:00:00,-4.21,-10.309999999999997,5.74,-0.9600000000000013
2025-12-16 02:00:00,-5.72,-11.324999999999998,5.23,-3.3700000000000014
2025-12-16 03:00:00,-4.71,-12.744999999999997,5.92,-2.1600000000000015
2025-12-16 04:00:00,-4.14,-11.454999999999997,6.85,-1.1600000000000015
2025-12-16 05:00:00,-6.199999999999999,-12.284999999999997,4.91,-4.190000000000001
2025-12-16 06:00:00,-6.239999999999999,-12.473999999999997,5.171,-4.779000000000002
2025-12-16 07:00:00,-4.42,-11.793999999999997,6.511,-5.620000000000002
2025-12-16 08:00:00,-4.02,-11.393999999999997,7.206,-4.985000000000002
